"h_angle","c_value","size"
25,16,26
25.25,16,26
25.5,16,26
25.75,16,26
26,16,26
26.25,16,26
26.5,16,26
26.75,16,26
27,16,26
27.25,16,26
27.5,16,26
27.75,16,26
28,16,26
28.25,16,26
28.5,16,26
28.75,16,26.25
29,16,26.25
29.25,16,26
29.5,16,26
29.75,16,26.25
30,16,26.25
30.25,16,26.25
30.5,16,26.25
30.75,16,26.25
31,16,26.25
31.25,16,26.25
31.5,16,26.25
31.75,16,26.25
32,16,26.25
32.25,16,26.25
32.5,16,26.25
32.75,16,26.25
33,16,26.25
33.25,16,26.25
33.5,16,26.25
33.75,16,26.25
34,16,26.5
34.25,16,26.5
34.5,16,26.5
34.75,16,26.5
35,16,26.5
